cell_id,lon,lat,start,end,duration_h
"(0, 4)",10.42500019,43.77499962,1981-01-07 14:00:00,1981-01-07 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1981-08-24 11:00:00,1981-08-24 12:00:00,1
"(0, 4)",10.42500019,43.77499962,1982-03-02 17:00:00,1982-03-02 18:00:00,1
"(0, 4)",10.42500019,43.77499962,1982-03-11 11:00:00,1982-03-11 18:00:00,7
"(0, 4)",10.42500019,43.77499962,1982-04-27 20:00:00,1982-04-27 21:00:00,1
"(0, 4)",10.42500019,43.77499962,1983-01-20 14:00:00,1983-01-20 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1983-02-02 12:00:00,1983-02-02 15:00:00,3
"(0, 4)",10.42500019,43.77499962,1983-03-26 15:00:00,1983-03-26 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1983-09-26 14:00:00,1983-09-26 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1983-09-26 16:00:00,1983-09-26 17:00:00,1
"(0, 4)",10.42500019,43.77499962,1983-12-01 11:00:00,1983-12-01 12:00:00,1
"(0, 4)",10.42500019,43.77499962,1984-02-10 14:00:00,1984-02-10 16:00:00,2
"(0, 4)",10.42500019,43.77499962,1985-04-12 11:00:00,1985-04-12 12:00:00,1
"(0, 4)",10.42500019,43.77499962,1985-04-16 12:00:00,1985-04-16 17:00:00,5
"(0, 4)",10.42500019,43.77499962,1985-04-17 11:00:00,1985-04-17 12:00:00,1
"(0, 4)",10.42500019,43.77499962,1985-04-17 13:00:00,1985-04-17 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1985-10-13 15:00:00,1985-10-13 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1985-10-16 15:00:00,1985-10-16 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1987-03-04 12:00:00,1987-03-04 16:00:00,4
"(0, 4)",10.42500019,43.77499962,1987-03-20 10:00:00,1987-03-20 12:00:00,2
"(0, 4)",10.42500019,43.77499962,1987-03-20 13:00:00,1987-03-20 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1987-09-30 10:00:00,1987-09-30 12:00:00,2
"(0, 4)",10.42500019,43.77499962,1988-09-07 10:00:00,1988-09-07 11:00:00,1
"(0, 4)",10.42500019,43.77499962,1988-09-07 12:00:00,1988-09-07 14:00:00,2
"(0, 4)",10.42500019,43.77499962,1989-05-07 06:00:00,1989-05-07 10:00:00,4
"(0, 4)",10.42500019,43.77499962,1989-05-23 14:00:00,1989-05-23 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1990-03-03 03:00:00,1990-03-03 05:00:00,2
"(0, 4)",10.42500019,43.77499962,1990-03-03 12:00:00,1990-03-03 13:00:00,1
"(0, 4)",10.42500019,43.77499962,1991-04-11 12:00:00,1991-04-11 15:00:00,3
"(0, 4)",10.42500019,43.77499962,1991-04-11 16:00:00,1991-04-11 17:00:00,1
"(0, 4)",10.42500019,43.77499962,1991-09-04 14:00:00,1991-09-04 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1991-09-08 16:00:00,1991-09-08 18:00:00,2
"(0, 4)",10.42500019,43.77499962,1992-03-09 15:00:00,1992-03-09 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1992-03-16 09:00:00,1992-03-16 11:00:00,2
"(0, 4)",10.42500019,43.77499962,1992-04-18 14:00:00,1992-04-18 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1992-05-19 14:00:00,1992-05-19 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1993-02-21 17:00:00,1993-02-21 18:00:00,1
"(0, 4)",10.42500019,43.77499962,1993-02-22 12:00:00,1993-02-22 15:00:00,3
"(0, 4)",10.42500019,43.77499962,1993-03-27 11:00:00,1993-03-27 16:00:00,5
"(0, 4)",10.42500019,43.77499962,1993-09-01 20:00:00,1993-09-01 22:00:00,2
"(0, 4)",10.42500019,43.77499962,1994-04-02 13:00:00,1994-04-02 14:00:00,1
"(0, 4)",10.42500019,43.77499962,1994-06-05 11:00:00,1994-06-05 16:00:00,5
"(0, 4)",10.42500019,43.77499962,1994-10-06 11:00:00,1994-10-06 12:00:00,1
"(0, 4)",10.42500019,43.77499962,1994-10-06 13:00:00,1994-10-06 14:00:00,1
"(0, 4)",10.42500019,43.77499962,1995-01-31 16:00:00,1995-01-31 18:00:00,2
"(0, 4)",10.42500019,43.77499962,1995-03-20 09:00:00,1995-03-20 15:00:00,6
"(0, 4)",10.42500019,43.77499962,1995-03-22 12:00:00,1995-03-22 14:00:00,2
"(0, 4)",10.42500019,43.77499962,1995-03-29 17:00:00,1995-03-29 21:00:00,4
"(0, 4)",10.42500019,43.77499962,1995-03-30 13:00:00,1995-03-30 16:00:00,3
"(0, 4)",10.42500019,43.77499962,1995-03-30 17:00:00,1995-03-30 18:00:00,1
"(0, 4)",10.42500019,43.77499962,1995-03-31 13:00:00,1995-03-31 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1995-04-08 21:00:00,1995-04-09 00:00:00,3
"(0, 4)",10.42500019,43.77499962,1995-04-14 12:00:00,1995-04-14 13:00:00,1
"(0, 4)",10.42500019,43.77499962,1995-11-04 15:00:00,1995-11-04 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1995-11-04 21:00:00,1995-11-04 23:00:00,2
"(0, 4)",10.42500019,43.77499962,1996-03-02 12:00:00,1996-03-02 13:00:00,1
"(0, 4)",10.42500019,43.77499962,1996-03-02 14:00:00,1996-03-02 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1996-05-28 13:00:00,1996-05-28 14:00:00,1
"(0, 4)",10.42500019,43.77499962,1996-05-28 19:00:00,1996-05-28 20:00:00,1
"(0, 4)",10.42500019,43.77499962,1997-04-12 09:00:00,1997-04-12 14:00:00,5
"(0, 4)",10.42500019,43.77499962,1997-05-28 21:00:00,1997-05-28 22:00:00,1
"(0, 4)",10.42500019,43.77499962,1997-09-15 13:00:00,1997-09-15 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1998-03-10 02:00:00,1998-03-10 03:00:00,1
"(0, 4)",10.42500019,43.77499962,1998-03-21 18:00:00,1998-03-21 20:00:00,2
"(0, 4)",10.42500019,43.77499962,1998-08-06 13:00:00,1998-08-06 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1999-01-29 14:00:00,1999-01-29 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1999-01-30 13:00:00,1999-01-30 14:00:00,1
"(0, 4)",10.42500019,43.77499962,1999-01-30 15:00:00,1999-01-30 16:00:00,1
"(0, 4)",10.42500019,43.77499962,1999-02-08 10:00:00,1999-02-08 12:00:00,2
"(0, 4)",10.42500019,43.77499962,1999-02-08 14:00:00,1999-02-08 15:00:00,1
"(0, 4)",10.42500019,43.77499962,1999-02-23 14:00:00,1999-02-23 16:00:00,2
"(0, 4)",10.42500019,43.77499962,1999-03-17 13:00:00,1999-03-17 15:00:00,2
"(0, 4)",10.42500019,43.77499962,1999-03-18 12:00:00,1999-03-18 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2000-03-20 12:00:00,2000-03-20 14:00:00,2
"(0, 4)",10.42500019,43.77499962,2000-03-20 15:00:00,2000-03-20 18:00:00,3
"(0, 4)",10.42500019,43.77499962,2000-04-07 12:00:00,2000-04-07 16:00:00,4
"(0, 4)",10.42500019,43.77499962,2001-11-23 15:00:00,2001-11-23 16:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-22 13:00:00,2002-03-22 16:00:00,3
"(0, 4)",10.42500019,43.77499962,2002-03-22 18:00:00,2002-03-22 19:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-23 13:00:00,2002-03-23 14:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-23 22:00:00,2002-03-24 01:00:00,3
"(0, 4)",10.42500019,43.77499962,2002-03-24 10:00:00,2002-03-24 13:00:00,3
"(0, 4)",10.42500019,43.77499962,2002-03-24 17:00:00,2002-03-24 18:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-25 13:00:00,2002-03-25 14:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-27 17:00:00,2002-03-27 18:00:00,1
"(0, 4)",10.42500019,43.77499962,2002-03-28 16:00:00,2002-03-28 19:00:00,3
"(0, 4)",10.42500019,43.77499962,2002-03-30 14:00:00,2002-03-30 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2003-04-07 11:00:00,2003-04-07 12:00:00,1
"(0, 4)",10.42500019,43.77499962,2003-04-17 12:00:00,2003-04-17 14:00:00,2
"(0, 4)",10.42500019,43.77499962,2003-09-03 13:00:00,2003-09-03 18:00:00,5
"(0, 4)",10.42500019,43.77499962,2003-09-05 13:00:00,2003-09-05 14:00:00,1
"(0, 4)",10.42500019,43.77499962,2003-09-25 12:00:00,2003-09-25 14:00:00,2
"(0, 4)",10.42500019,43.77499962,2006-03-06 12:00:00,2006-03-06 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2006-03-07 11:00:00,2006-03-07 13:00:00,2
"(0, 4)",10.42500019,43.77499962,2006-03-07 14:00:00,2006-03-07 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2006-03-13 12:00:00,2006-03-13 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2006-05-30 13:00:00,2006-05-30 14:00:00,1
"(0, 4)",10.42500019,43.77499962,2006-05-30 15:00:00,2006-05-30 17:00:00,2
"(0, 4)",10.42500019,43.77499962,2007-01-02 14:00:00,2007-01-02 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2007-05-18 09:00:00,2007-05-18 10:00:00,1
"(0, 4)",10.42500019,43.77499962,2007-05-18 11:00:00,2007-05-18 12:00:00,1
"(0, 4)",10.42500019,43.77499962,2007-10-14 09:00:00,2007-10-14 10:00:00,1
"(0, 4)",10.42500019,43.77499962,2007-11-09 14:00:00,2007-11-09 17:00:00,3
"(0, 4)",10.42500019,43.77499962,2008-11-22 12:00:00,2008-11-22 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2008-11-22 14:00:00,2008-11-22 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2009-02-18 12:00:00,2009-02-18 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2009-03-20 11:00:00,2009-03-20 16:00:00,5
"(0, 4)",10.42500019,43.77499962,2009-03-21 11:00:00,2009-03-21 16:00:00,5
"(0, 4)",10.42500019,43.77499962,2011-10-07 12:00:00,2011-10-07 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2011-10-08 12:00:00,2011-10-08 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2011-10-14 12:00:00,2011-10-14 15:00:00,3
"(0, 4)",10.42500019,43.77499962,2012-01-14 11:00:00,2012-01-14 13:00:00,2
"(0, 4)",10.42500019,43.77499962,2012-04-01 19:00:00,2012-04-01 22:00:00,3
"(0, 4)",10.42500019,43.77499962,2012-05-16 11:00:00,2012-05-16 12:00:00,1
"(0, 4)",10.42500019,43.77499962,2012-05-16 13:00:00,2012-05-16 16:00:00,3
"(0, 4)",10.42500019,43.77499962,2014-10-22 11:00:00,2014-10-22 13:00:00,2
"(0, 4)",10.42500019,43.77499962,2015-03-12 12:00:00,2015-03-12 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2016-03-24 12:00:00,2016-03-24 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2017-03-10 11:00:00,2017-03-10 13:00:00,2
"(0, 4)",10.42500019,43.77499962,2017-03-10 14:00:00,2017-03-10 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2017-03-27 11:00:00,2017-03-27 14:00:00,3
"(0, 4)",10.42500019,43.77499962,2017-06-18 14:00:00,2017-06-18 15:00:00,1
"(0, 4)",10.42500019,43.77499962,2018-09-24 12:00:00,2018-09-24 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2018-09-25 10:00:00,2018-09-25 12:00:00,2
"(0, 4)",10.42500019,43.77499962,2018-09-25 13:00:00,2018-09-25 17:00:00,4
"(0, 4)",10.42500019,43.77499962,2019-03-11 12:00:00,2019-03-11 13:00:00,1
"(0, 4)",10.42500019,43.77499962,2019-03-11 14:00:00,2019-03-11 17:00:00,3
"(0, 4)",10.42500019,43.77499962,2019-03-11 19:00:00,2019-03-11 20:00:00,1
