start,duration_h
1981-01-07,1
1981-03-31,1
1981-04-12,2
1981-04-18,5
1981-08-14,1
1981-08-24,4
1981-12-01,1
1981-12-03,1
1982-03-02,1
1982-03-03,1
1982-03-11,7
1982-03-13,1
1982-03-14,1
1982-03-15,1
1982-03-25,4
1982-03-26,1
1982-04-24,1
1982-04-26,1
1982-04-27,1
1983-01-20,4
1983-01-31,1
1983-02-02,6
1983-02-04,2
1983-03-13,3
1983-03-26,1
1983-09-26,6
1983-10-18,1
1983-12-01,5
1983-12-08,2
1984-02-10,4
1985-02-16,2
1985-03-17,1
1985-04-12,1
1985-04-13,2
1985-04-16,8
1985-04-17,4
1985-04-28,2
1985-04-29,1
1985-08-07,1
1985-08-27,3
1985-10-13,1
1985-10-16,2
1986-12-19,3
1986-12-25,1
1987-03-04,4
1987-03-15,1
1987-03-20,6
1987-03-21,2
1987-09-06,1
1987-09-29,3
1987-09-30,7
1987-10-01,2
1988-02-26,3
1988-02-27,1
1988-03-28,2
1988-04-14,2
1988-09-07,8
1988-12-16,4
1989-01-03,1
1989-02-13,2
1989-02-15,2
1989-03-24,2
1989-05-07,5
1989-05-23,1
1990-03-02,1
1990-03-03,7
1990-03-15,4
1990-03-16,1
1990-08-02,1
1990-08-03,1
1990-08-04,1
1990-08-05,1
1990-08-10,3
1990-08-19,3
1990-08-22,7
1990-09-11,3
1991-03-18,3
1991-03-29,1
1991-04-11,5
1991-05-27,1
1991-09-03,8
1991-09-04,2
1991-09-08,5
1992-02-17,2
1992-02-18,1
1992-03-09,3
1992-03-10,2
1992-03-16,3
1992-03-17,1
1992-04-18,4
1992-05-13,3
1992-05-14,1
1992-05-15,4
1992-05-16,1
1992-05-17,4
1992-05-19,5
1992-05-26,3
1992-06-27,1
1992-08-06,1
1993-01-26,2
1993-02-02,1
1993-02-21,1
1993-02-22,7
1993-02-23,1
1993-03-05,1
1993-03-08,3
1993-03-27,6
1993-03-28,2
1993-03-29,1
1993-03-30,4
1993-04-16,2
1993-06-27,1
1993-07-07,2
1993-08-11,2
1993-08-29,1
1993-09-01,3
1994-01-28,1
1994-01-29,2
1994-02-11,1
1994-03-27,6
1994-03-28,1
1994-04-02,3
1994-06-05,6
1994-08-18,3
1994-08-19,1
1994-08-26,1
1994-10-06,6
1994-10-13,6
1995-01-11,1
1995-01-13,3
